Subsidiary_Responsible;Client;Number_of_Deliveries;Total_KG;Number_of_volumes;Total_Cargo_Shipped;Total_Shipped_Value;Average_Shipping_Value;Shipping_Value_on_Product_Value;Shipping_Value/KG;Suggested_adjustment
TCT;Tolentino Investimentos;13;3080;165;109293;3459,1;778,44;2,89;1,24;32,3
TCT;Souza Telecomunicações;3;3940;126;93865;2927,46;3234,89;3,35;0,98;33,3
TCT;Casa da Borracha Fedrizi;5;7766;21101;117428;3276,07;273,71;3,23;0,53;43
BHI;Naturale Projetos;13;2275;374;8402;3396,6;541,02;33,54;1,42;35,7
BHI;Dinamo Engenharia;6;2273;10;100309;3382,48;3326,07;3,72;1,53;20,9
BHI;Argon Otimização de Sites;8;2706;13;71953;3204,41;441,12;4,89;1;35,4
BHI;Construtora MBR;7;2973;160;38116;2983,94;135,23;6,83;0,83;32,3
BHI;Geofast;18;2433;132;223487;2507,1;164,5;1,23;1,53;37,1
BHI;SBN Portifolios;16;1743;119;78195;2409,16;258,99;2,9;1,6;30,8
BHI;Delta Informática;10;1608;33;43312;2201,33;454,43;5,46;1,08;23,8
TCT;Gráfica Tropical;4;1888;106;14274;2147,67;85,59;18,01;1,25;24,5
BHI;Linux Treinamentos;25;762;28;72471;2122,03;80,1;3,66;2,42;31,3
